Catalog,Url,Name,Equipment,Target,Utility,Mechanics,Force,Preparation,Execution,Comment
Neck,https://exrx.net/WeightExercises/Sternocleidomastoid/WtNeckLateralFlex,Weighted Lateral Neck Flexion,Weighted, Atlantoccipical & Antlantoaxial Cervical Spine ,Auxiliary,Isolated,Pull,Place folded towel on weight plate. Lie on bench on side with knees and hips bent and arm hanging over edge. Position weight and towel on side of upper head. Hold weight on side of head with hand of upper arm. Place hand of lower arm on floor for support.,Move head up to side by laterally flexing neck. Lower head to opposite side and repeat. Lie on other side and continue.,See all muscle used in Lateral Flexion:
Neck,https://exrx.net/WeightExercises/Sternocleidomastoid/BWFrontNeckBridge,Front Neck Bridge,Front, Wall Rear Neck Bridge Weighted Neck Extension ,Basic or Auxiliary,Isolated,Push & Pull,Kneel on all fours on well cushioned mat. Place head on mat between hands. Rise and straighten knees. Fold hands behind low back or hips.,Roll back onto forehead until nose touches mat. Roll forward onto top of head until chin touches upper chest. Repeat.,Exercise involves neck flexors as well as neck extensors. See controversial exercises.
Neck,https://exrx.net/WeightExercises/Sternocleidomastoid/BWWallFrontNeckBridge,Wall Front Neck Bridge,Wall, Weighted Neck Flexion ,Basic or Auxiliary,Isolated,Push & Pull,Place small or folded cushioned mat on wall or column approximately chest height. With hands supporting mat on each side stand back so feet are away from wall or column with body leaning forward. Place top of forehead on mat. Fold hands behind low back or hips.,Roll down onto forehead until nose touches mat. Roll up onto top of head until chin touches upper chest. Repeat.,Keep body somewhat straight bending spine and hips slightly as head rolls down. Exercise involves neck flexors as well as neck extensors. See controversial exercises.
Neck,https://exrx.net/WeightExercises/Sternocleidomastoid/BWWallSideNeckBridge,Wall Side Neck Bridge,Wall, Weighted Lateral Neck Flexion ,Auxiliary,Isolated,Pull,"Place small or folded cushioned mat on column or at end of wall approximately shoulder height. With hands supporting mat, stand with side toward mat. Step far to side so feet are away from wall or column forward. Place side of head on mat with shoulder extending over end of adjacent side of column or wall so body leans to side. Fold hands behind low back or hips.",Push side of head into mat and roll onto top of head moving body away from mat. Return to original position by rolling back down to side of head while bringing shoulder back over end of column or wall. Repeat.,Keep body somewhat straight allowing waist to bend outward away from mat slightly at end of lift. See all muscle used in Lateral Flexion:
Neck,https://exrx.net/Stretches/Sternocleidomastoid/NeckRetraction,Neck Retraction Stretch,Neck, Longus colli ,,,,Stand or sit. ,Pull head back as far possible while looking slightly down and hold stretch. ,Neck retraction primarily consists of Cervical Flexion (spine) accompanied by subtle Thoracic Flexion (spine) and Neck Flexion (atlanto-occipital joint). Cervical spine has natural lordotic curvature (see diagram of spine). Much of the retraction motion is actually flattening or slight reversing the normal lordosis. The deep neck flexors perform majority of this movement. Slight neck Flexion at the atlanto-occipital joint also occurs to maintain forward head positioning. 
Neck,https://exrx.net/Stretches/Sternocleidomastoid/NeckRotation,Neck Rotation Stretch,Neck, Sternocleidomastoid ,,,,Stand or sit. ,Turn head over shoulder to one side. Hold stretch. Repeat to other side. ,Head can be pulled toward back. 
Neck,https://exrx.net/WeightExercises/Splenius/CBNeckExt,Cable Neck Extension,Cable, Splenius ,Basic or Auxiliary,Isolated,Pull,Sit on bench facing pulley. Place neck in harness cable attachment. Place forearms on lower thighs for support.,Move head away from pulley by hyperextending neck. Return by bending neck forward until chin touches upper chest. Repeat.,No comment.
Neck,https://exrx.net/WeightExercises/Splenius/CBNeckExtBelt,Cable Neck Extension (with belt),Cable, Splenius ,Basic or Auxiliary,Isolated,Pull,"Sit on bench facing low pulley. Attach belt on low pulley cable by attaching carabiner on belt buckle. Place head in belt loop. With belt above ears, clamp belt snugly around head by tightly gripping ends close to forehead. Place other hand or forearm on lower thighs for support.",Pull head up and back by hyperextending neck. Return by bending neck forward until chin touches upper chest. Repeat.,"Use neck to pull belt rather than allowing hand to assist. Keep clinched grip on belt against forehead throughout movement. Woven cotton or cloth belts tend to slip less, particularly on bald head. If belt slips from head, place small towel between belt and head."
Neck,https://exrx.net/WeightExercises/Splenius/LVNeckExtentionH,Lever Neck Extension (plate loaded),Lever, Splenius ,Basic or Auxiliary,Isolated,Pull,Sit on seat in machine. Place back of head under padded lever. Position body so neck is in line with lever axis. Grasp handles for support.,Move head back by hyperextending neck. Return by bending neck forward until chin touches upper chest. Repeat.,None
Neck,https://exrx.net/WeightExercises/Splenius/LVNeckExt,Lever Neck Extension,Lever, Splenius ,Basic or Auxiliary ,Isolated ,Pull ,Sit on seat in machine. Place back of head under padded lever. Position body so neck is in line with lever axis. Grasp handles for support. ,Move head back by hyperextending neck. Return by bending neck forward until chin touches upper chest. Repeat. , None 
Neck,https://exrx.net/WeightExercises/Splenius/WtLyingNeckExtension,Weighted Lying Neck Extension,Weighted, Splenius ,Basic or Auxiliary,Isolated,Pull,"Lie prone on bench with head extended off of end and folded towel and weight plate(s) on floor. With both hands, place plate(s) on back of head with towel placed in between for comfort.",Move head up by hyperextending neck up as high as possible. Return by bending neck down until chin touches upper chest. Repeat.,Balance weight on back of head with both hands throughout movement. Weight plate(s) can be tilted slightly to   higher point on head to keep resistance slightly more consistent throughout movement. Tilt weight forward slightly at top and back slightly at bottom. Also see same movement with body lying perpendicular to bench.
Neck,https://exrx.net/WeightExercises/Splenius/WtNeckExtension,Weighted Neck Extension,Weighted, Splenius ,Basic or Auxiliary,Isolated,Pull,"Kneel on side of bench with weight plates on end of bench. With both hands, hold weight plate(s) cushioned with towel. Position upper body prone and perpendicular on bench with head and arms extending off of side. With both hands, place weight plate(s) on back of head with towel placed in between for comfort.",Move head up by hyperextending neck up as high as possible. Return by bending neck down until chin touches upper chest. Repeat.,Balance weight on back of head with both hands throughout movement. Weight plate(s) can be tilted slightly to higher point on head to keep resistance slightly more consistent throughout movement. Tilt weight slightly forward at top and back slightly at bottom. Also same see movement with body lying on bench.
Neck,https://exrx.net/WeightExercises/Splenius/WtNeckExt,Weighted Seated Neck Extension,Weighted, Splenius ,Basic or Auxiliary,Isolated,Pull,"Place folded towel on weight plate. On bench or stool, sit bent over on thighs. With both hands, place plate(s) on back of head with towel placed in between for comfort.",Move head up by hyperextending neck up as high as possible. Return by bending neck down until chin touches upper chest. Repeat.,Balance weight on back of head with both hands throughout movement. Weight plate(s) can be tilted slightly to   higher point on head to keep resistance slightly more consistent throughout movement. Tilt weight forward slightly at top and back slightly at bottom.
Neck,https://exrx.net/WeightExercises/Splenius/WtNeckHarnessExt,Weighted Neck Harness Extension,Weighted, Splenius ,Basic or Auxiliary,Isolated,Pull,Sit on bench with weighted neck harness on head. Allow weight to dangle in front by bending over.,Move head up by hyperextending neck. Return by bending neck down until chin touches upper chest. Repeat.,Exercise can also be performed by bending over with hands on bent knees.
Neck,https://exrx.net/WeightExercises/Splenius/BRNeckRetraction,Band Resistive Neck Retraction,Band, Splenius ,Auxiliary,Isolated,Pull,Preparation Stand with back of neck against exercise band strapped accross rack. Position both arms behind bands to each side. Hold horizontal bar above if within reach.,This exercise may be prescribed for functional forward head posture since it strengthens Splenius without neck flexion. Neck retraction primarily consists of Cervical Flexion (spine) accompanied by subtle Thoracic Flexion (spine) and Neck Flexion (atlanto-occipital joint). Cervical spine has natural lordotic curvature (see diagram of spine). Much of the retraction motion is actually flattening or slight reversing the normal lordosis. The deep neck flexors perform majority of movement. Slight neck Flexion at the atlanto-occipital joint also occurs to maintain forward head positioning.,See video with close up view. Also see similar exercise Neck Retraction Stretch.
Neck,https://exrx.net/WeightExercises/Splenius/BWRearNeckBridge,Rear Neck Bridge,Rear, Wall Rear Neck Bridge Weighted Neck Extension ,Basic or Auxiliary,Isolated,Pull,Lying supine on well cushioned mat. Position feet very close to hips. Raise buttocks and low back slightly off of floor and fold hands on abdomen.,Extend hips and knees while pushing head back into floor. Roll back on head while arching spine high off of floor. Hyperextend neck back in attempt to bring forehead toward mat. Return body to close to mat until back of head and shoulders make contact with mat. Repeat.,Also known as wrestler's bridge. See controversial exercises.
Neck,https://exrx.net/WeightExercises/Splenius/BWWallRearNeckBridge,Wall Rear Neck Bridge,Wall, Weighted Neck Extension Weighted Lying Neck Extension ,Basic or Auxiliary,Isolated,Pull,Preparation,Execution,Push head back into mat and roll head upward. Arch spine and straighten knees. Hyperextend neck so head is facing up. Return to origianl position by rolling head down while allowing low back to straighten and knees to bend slightly. Continue down until back of head and shoulders make contact with mat. Repeat.
Neck,https://exrx.net/WeightExercises/Splenius/LyingIsometricNeckRetr,Lying Neck Retraction Isometric,Lying, Splenius ,Auxiliary,Isolated,Pull,Instructions Preparation Lie supine on mat.,"This exercise may be prescribed for functional forward head posture since it strengthens Splenius without neck flexion. The stretch that occurs during complete neck flexion, may exacerbate forward head posture, particularly if neck flexion is held under load. Neck flexion normally occurs at end of eccentric portion of dynamic Splenius exercises.",Neck retraction primarily consists of Cervical Flexion (spine) accompanied by subtle Thoracic Flexion (spine) and Neck Flexion (atlanto-occipital joint). Cervical spine has natural lordotic curvature (see diagram of spine). Much of the retraction motion is actually flattening or slight reversing the normal lordosis. The deep neck flexors perform majority of movement. Slight neck Flexion at the atlanto-occipital joint also occurs to maintain forward head positioning.
Neck,https://exrx.net/Stretches/Splenius/Neck,Neck Extensor Stretch,Neck, Splenius ,,,,Bow head forward with jaw shut. Depress chin into top of sternum. ,Slightly turn head to one side. Hold stretch. Repeat to other side. , None. 
Neck,https://exrx.net/WeightExercises/Splenius/STNeckExtension,Suspended Neck Extension,Suspended, Weighted Neck Extension Weighted Lying Neck Extension ,Basic or Auxiliary,Isolated,Pull,Preparation,Execution,Lower angle of body by bowing head until chin is near upper chest. Increase angle of body by raising head. Repeat.
Neck,https://exrx.net/Stretches/ErectorSpinae/Plow,Plow Stretch,Plow, Erector Spinae ,,,,Lie on back and lift legs and hip overhead. , Allow knees to drop toward floor to sides of head. Hold stretch. ,Avoid overstressing neck anteriorly. 
Shoulders,https://exrx.net/WeightExercises/DeltoidAnterior/BBBehindNeckPress,Barbell Behind Neck Press,Barbell," Deltoid, Anterior ",Basic,Compound,Push,Grasp barbell with overhand grip from rack or clean from floor. Position bar behind neck.,Press bar upward until arms are extended overhead. Return behind neck and repeat.,Exercise may be performed on shoulder press apparatus with rack or off of power rack with seat or without back support. Also see mount and dismount off of special articulating rack.
Shoulders,https://exrx.net/WeightExercises/DeltoidAnterior/BBFrontRaise,Barbell Front Raise,Barbell," Deltoid, Anterior ",Auxiliary,Isolated,Push,Grasp barbell with overhand grip with elbows straight or slightly bent.,Raise barbell forward and upward until upper arms are above horizontal. Lower and repeat.,"Absolute height of movement may depend on range of motion. Raise should be limited to height achieved just before tightness is felt in shoulder capsule. Alternatively, height just above horizontal may be considered adequate. Elbows may be kept straight or slightly bent throughout movement."
Shoulders,https://exrx.net/WeightExercises/DeltoidAnterior/BBInclineFrontRaise,Barbell Incline Front Raise,Barbell," Deltoid, Anterior ",Auxiliary,Isolated,Push,Grasp barbell with shoulder width overhand grip. Lie supine on upper portion of 45 degree incline bench with legs straight. Position barbell on top of upper thighs.,"With elbows straight or slightly bent, raise barbell up and over shoulders until uppers arm are vertical. Lower barbell to upper thigh and repeat.",Movement can also be performed on old fashioned incline bench without seat.
Shoulders,https://exrx.net/WeightExercises/DeltoidAnterior/BBMilitaryPress,Barbell Military Press,Barbell," Deltoid, Anterior ",Basic,Compound,Push,"Grasp barbell from rack or clean barbell from floor with overhand grip, slightly wider than shoulder width. Position bar in front of neck.",Press bar upward until arms are extended overhead. Lower to front of neck and repeat.,See unrack and rack technique. Feet may be positioned shoulder width apart or one foot in front of other with forward leg slightly bent (as shown). Upper chest assists (instead of side delts) since grip is slightly narrower and chest is high with low back arched back slightly. Also known as Overhead Press.   Also see Push Press and Press Strength Standards.
Shoulders,https://exrx.net/WeightExercises/DeltoidAnterior/BBSeatedMilitaryPress,Barbell Seated Military Press,Barbell," Deltoid, Anterior ",Basic,Compound,Push,Grasp barbell with slightly wider than shoulder width overhand grip from rack. Position bar near upper chest.,Press bar upward until arms are extended overhead. Return to upper chest and repeat.,Set barbell on forward rack slightly below shoulder height so bar may be more easily unracked and racked. Position seat so bar does not hit uprights but close enough to easily mount and rack. Range of motion will be compromised if grip is too wide. Grip is slightly narrower than shoulder press. Torso is postured more upright than traditional Military Press.
Shoulders,https://exrx.net/WeightExercises/DeltoidAnterior/BBShoulderPress,Barbell Shoulder Press,Barbell," Deltoid, Anterior ",Basic,Compound,Push,Grasp barbell with slightly wider than shoulder width overhand grip from rack. Position bar near upper chest.,Press bar upward until arms are extended overhead. Return to upper chest and repeat.,Set barbell on forward rack slightly below shoulder height so bar may be more easily mounted and racked. Position seat so bar does not hit uprights but close enough to easily mount and rack. Range of motion will be compromised if grip is too wide.
Shoulders,https://exrx.net/WeightExercises/DeltoidAnterior/CBBarBehindNeckPress,Cable Bar Behind Neck Press,Cable," Deltoid, Anterior ",Basic,Compound,Push,"Stand facing cable bar, mounted on each side to upper waist height narrow double pulley cables. Grasp cable bar with wide overhand grip upper chest height. Stand directly between both cable pulleys with one foot forward and other foot back. Push cable bar over head and position cable bar behind neck or rest on shoulders.",Press cable bar upward until arms are extended overhead. Return behind neck and repeat.,"Exercise may also be performed seated, straddling bench or on weight chair with back support."
Shoulders,https://exrx.net/WeightExercises/DeltoidAnterior/CBBarMilitaryPress,Cable Bar Military Press,Cable," Deltoid, Anterior ",Basic,Compound,Push,"Stand facing cable bar, mounted on each side to upper waist height narrow double pulley cables. Grasp cable bar with overhand grip, slightly wider than shoulder width. Position cable bar upper chest height. Stand directly between both cable pulleys with one foot forward and other foot back.",Press cable bar upward until arms are extended overhead. Return to upper chest and repeat.,Feet may be positioned shoulder width apart or one foot in front of other with forward leg slightly bent (as shown). Upper chest assists (instead of side delts) since grip is slightly narrower and chest is high with low back arched back slightly.
Shoulders,https://exrx.net/WeightExercises/DeltoidAnterior/CBBarShoulderPress,Cable Bar Shoulder Press,Cable," Deltoid, Anterior ",Basic,Compound,Push,Stand facing cable bar mounted on each side to upper waist height narrow double pulley cables. Grasp cable bar with wide overhand grip and position upper chest height. Stand directly between both cable pulleys with one foot forward and other foot back.,Press cable bar upward until arms are extended overhead. Return to upper chest and repeat.,"Exercise may also be performed seated, straddling bench or on weight chair with back support. Range of motion will be compromised if grip is too wide."
Shoulders,https://exrx.net/WeightExercises/DeltoidAnterior/CBSeatedFrontRaise,Cable Seated Front Raise,Cable," Deltoid, Anterior ",Auxiliary,Isolated,Push,Sit on seat above twin cable pulleys. Grasp stirrups on each side. Sit upright with arms straight down to each side with palms facing back.,Raise stirrups forward and upward until upper arms are well above horizontal. Lower and repeat.,"Absolute height of movement may depend on range of motion or when stirrup or cable makes contact with underside of forearm. Raise should be limited to height achieved just before tightness is felt in shoulder capsule. Alternatively, height just above horizontal may be considered adequate. Elbows may be kept straight or slightly bent throughout movement."
Shoulders,https://exrx.net/WeightExercises/DeltoidAnterior/CBAlternatingFrontRaise,Cable Alternating Front Raise,Cable," Deltoid, Anterior ",Auxiliary,Isolated,Push,"Stand with low double pulleys behind. Grasp stirrup attachments, one in each hand. Stand away from pulley slightly with arms back somewhat at side and elbows straight or slightly bent.","Raise one stirrup forward and upward until upper arm is well above horizontal. Lower and repeat with opposite arm, alternating between arms.","Absolute height of movement may depend on range of motion or when stirrup or cable makes contact with underside of forearm. Raise should be limited to height achieved just before tightness is felt in shoulder capsule. Alternatively, height just above horizontal may be considered adequate. Elbows may be kept straight or slightly bent throughout movement."
Shoulders,https://exrx.net/WeightExercises/DeltoidAnterior/CBAlternatingSeatedFrontRaise,Cable Alternating Seated Front Raise,Cable," Deltoid, Anterior ",Auxiliary,Isolated,Push,Sit on seat above twin cable pulleys. Grasp stirrups on each side. Sit upright with arms straight down to each side with palms facing back.,Raise one stirrup forward and upward until upper arm is well above horizontal. Lower and repeat with opposite arm. Continue by alternating raises between sides.,"Absolute height of movement may depend on range of motion or when stirrup or cable makes contact with underside of forearm. Raise should be limited to height achieved just before tightness is felt in shoulder capsule. Alternatively, height just above horizontal may be considered adequate. Elbows may be kept straight or slightly bent throughout movement."
Shoulders,https://exrx.net/WeightExercises/DeltoidAnterior/CBFrontRaise,Cable One Arm Front Raise,Cable," Deltoid, Anterior ",Auxiliary,Isolated,Push,Grasp stirrup attachment. Stand away from pulley slightly with arm back somewhat at side and elbow straight or slightly bent.,Raise stirrup forward and upward until upper arm is well above horizontal. Lower and repeat. Repeat with opposite arm.,"Absolute height of movement may depend on range of motion or when stirrup or cable makes contact with underside of forearm. Raise should be limited to height achieved just before tightness is felt in shoulder capsule. Alternatively, height just above horizontal may be considered adequate. Elbows may be kept straight or slightly bent throughout movement."
Shoulders,https://exrx.net/WeightExercises/DeltoidAnterior/CBFrontRaiseRope,Cable One Arm Front Raise (with rope),Cable," Deltoid, Anterior ",Auxiliary,Isolated,Push,Grasp end of Triceps Rope Cable attachment with one hand so that protruding end is in contact with side of hand (thumb and index finger). Stand away from   pulley with arm back at side and elbow straight.,Raise stirrup forward and upward until arm is well above horizontal or cable makes contact with underside of upper arm. Lower and repeat. Repeat with opposite arm.,"Absolute height of movement may depend on range of motion or when cable makes contact with underside of forearm. Raise should be limited to height achieved just before tightness is felt in shoulder capsule. Alternatively, height just above horizontal may be considered adequate."
Shoulders,https://exrx.net/WeightExercises/DeltoidAnterior/CBStandingShoulderPress,Cable Standing Shoulder Press,Cable," Deltoid, Anterior ",Basic or Auxiliary,Compound,Push,Stand between two low to medium height pulleys. Grasp cable stirrups from each side. Position stirrups to each side of shoulders with elbows down to sides and stirrups above or slightly narrower than elbows.,Push stirrups upward until arms are extended overhead. Return stirrups to sides of shoulders and repeat.,Wrists maintain their approximate position above each elbow throughout movement. Feet may be positioned apart to each side or one foot back as shown. Cable pulleys should be much closer together than what is typically found on standard cable cross over setup.
Shoulders,https://exrx.net/WeightExercises/DeltoidAnterior/CBShoulderPress,Cable Shoulder Press,Cable," Deltoid, Anterior ",Basic or Auxiliary,Compound,Push,Sit on seat and grasp stirrups from low to medium low position from each side. Position stirrups to each side of shoulders with elbows down to sides and stirrups above or slightly narrower than elbows.,Push stirrups upward until arms are extended overhead. Return stirrups to sides of shoulders and repeat.,Wrists maintain their approximate position above each elbow throughout movement.
Shoulders,https://exrx.net/WeightExercises/DeltoidAnterior/CBTwistingOverheadPress,Cable Twisting Overhead Press,Cable," Deltoid, Anterior ",Basic or Auxiliary ,Compound ,Push ,"Stand beside low to medium height pulley. Grasp cable stirrup. Position stirrup to front of shoulder with elbow down to side. Place opposite hand on hip. With feet wide apart, squat down slightly. ",Rotate body away from pulley and straighten legs while pushing stirrup diagonally upward toward opposite side of body. Return to original position and repeat. ,Internal rotation of far hip (opposite side with resistance) is much greater than spinal rotation. 
Shoulders,https://exrx.net/WeightExercises/DeltoidAnterior/DBArnoldPress,Dumbbell Arnold Press,Dumbbell," Deltoid, Anterior ",Basic or Auxiliary,Compound,Push,"Stand with two dumbbells position in front of shoulders, palms facing body and elbows under wrists.",Initiate movement by bringing elbows out to sides. Continue to raise elbows outward while pressing dumbbells overhead until arms are straight. Lower to front of shoulders in opposite pattern and repeat.,Movement should emphasize shoulder abduction while minimizing forearm pronation as this exercise attempts to combine lateral raise like motion with shoulder press. Lean forward slightly when lifting Dumbbells.
Shoulders,https://exrx.net/WeightExercises/DeltoidAnterior/DBFrontRaise,Dumbbell Front Raise,Dumbbell," Deltoid, Anterior ",Auxiliary,Isolated,Push,Grasp dumbbells in both hands. Position dumbbells in front of upper legs with elbows straight or slightly bent.,Raise dumbbells forward and upward until upper arms are above horizontal. Lower and repeat.,"Absolute height of movement may depend on range of motion. Raise should be limited to height achieved just before tightness is felt in shoulder capsule. Alternatively, height just above horizontal may be considered adequate. Elbows may be kept straight or slightly bent throughout movement. Also see Dumbbell Alternating Front Raise."
Shoulders,https://exrx.net/WeightExercises/DeltoidAnterior/DBAlternatingFrontRaise,Dumbbell Alternating Front Raise,Dumbbell," Deltoid, Anterior ",Auxiliary,Isolated,Push,Grasp dumbbells in both hands. Position dumbbells in front of upper legs with elbows straight or slightly bent.,"Raise one dumbbell forward and upward with until upper arm is above horizontal. Lower and repeat with opposite arm, alternating between arms.","Absolute height of movement may depend on range of motion. Raise should be limited to height achieved just before tightness is felt in shoulder capsule. Alternatively, height just above horizontal may be considered adequate. Elbows may be kept straight or slightly bent throughout movement. Also see Dumbbell Front Raise."
Shoulders,https://exrx.net/WeightExercises/DeltoidAnterior/DBAlternInclineFrontRaise,Dumbbell Alternating Incline Front Raise,Dumbbell," Deltoid, Anterior ",Auxiliary,Isolated,Push,Grasp dumbbells and lie supine on upper portion of 45 degree incline bench with legs straight. Position dumbbells downward below each shoulder.,"With elbows straight or slightly bent, raise one dumbbell forward, up and over shoulder until upper arm is vertical. Lower dumbbell down to starting position. Repeat raise with other arm, alternating between sides.",Movement can also be performed on old fashion incline bench without seat.
Shoulders,https://exrx.net/WeightExercises/DeltoidAnterior/DBShoulderPress,Dumbbell Shoulder Press,Dumbbell," Deltoid, Anterior ",Basic,Compound,Push,Position dumbbells to each side of shoulders with elbows below wrists.,Press dumbbells upward until arms are extended overhead. Lower to sides of shoulders and repeat.,See suggested mount and dismount when using heavy dumbbells.
Shoulders,https://exrx.net/WeightExercises/DeltoidAnterior/DBOneArmShoulderPress,Dumbbell One Arm Shoulder Press,Dumbbell," Deltoid, Anterior ",Basic or Auxiliary ,Compound ,Push ,Stand with dumbbells positioned near shoulder with elbow below wrists. ,Press dumbbell upward until arm is extended overhead. Lower to side of shoulder and repeat. ,Torso can lean away for balance as shown or torso can maintain upright posture. Also see Kettlebell Press. 
Shoulders,https://exrx.net/WeightExercises/DeltoidAnterior/LVBehindNeckPressH,Lever Behind Neck Press (plate loaded),Lever," Deltoid, Anterior ",Basic,Compound,Push,Sit back on seat. Grasp lever bars to each side with overhand grip.,Press levers upward until arms are extended overhead. Lower and repeat.,Exercise can also be performed on certain lever shoulder presses by facing away from machine. Range of motion will be compromised if grip is too wide.
